字段名称,数据类型,总记录数,非空记录数,缺失记录数,缺失率(%),负值数量,零值数量,99分位极端值数量
VendorID,int32,3724889,3724889,0,0.0,0,0,0
tpep_pickup_datetime,datetime64[us],3724889,3724889,0,0.0,0,0,0
tpep_dropoff_datetime,datetime64[us],3724889,3724889,0,0.0,0,0,0
passenger_count,float64,3724889,2636831,1088058,29.2105,0,14787,14078
trip_distance,float64,3724889,3724889,0,0.0,0,125738,37196
RatecodeID,float64,3724889,2636831,1088058,29.2105,0,0,0
store_and_fwd_flag,str,3724889,2636831,1088058,29.2105,0,0,0
PULocationID,int32,3724889,3724889,0,0.0,0,0,5930
DOLocationID,int32,3724889,3724889,0,0.0,0,0,22302
payment_type,int64,3724889,3724889,0,0.0,0,1088058,0
fare_amount,float64,3724889,3724889,0,0.0,39463,2082,37155
extra,float64,3724889,3724889,0,0.0,20035,2270914,35830
mta_tax,float64,3724889,3724889,0,0.0,37730,48423,6
tip_amount,float64,3724889,3724889,0,0.0,67,1597981,36764
tolls_amount,float64,3724889,3724889,0,0.0,3391,3484180,15250
improvement_surcharge,float64,3724889,3724889,0,0.0,39732,111767,0
total_amount,float64,3724889,3724889,0,0.0,39984,433,37244
congestion_surcharge,float64,3724889,2636831,1088058,29.2105,30448,303124,0
Airport_fee,float64,3724889,2636831,1088058,29.2105,9225,2399229,1407
cbd_congestion_fee,float64,3724889,3724889,0,0.0,25197,1093675,0
行程时间逻辑异常(下车早于上车),逻辑校验,3724889,-,-,-,-,-,1
